Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
2011-01-01,15:25:00,Kogalmavia,348,Tupolev Tu-154B-2,RA-85588,83A588,0,2010,Surgut,Russia,,124,116,8,3,3,0,Surgut,Moscow,121,113,8,97.58064516129032,Passenger,January,Saturday,Europe
2010-12-15,15:30:00,Tara Air,?,de Havilland Canada DHC-6 Twin Otter,9N-AFX,806,0,2010,Palunge Hill,Nepal,,22,19,3,22,19,3,Lamidanda,Kathmandu,0,0,0,0.0,Passenger,December,Wednesday,Asia
2010-12-04,14:49:00,Dagestan Airlines,372,Tupolev Tu-154M,RA-85744,92A-927,0,2010,Moscow,Russia,,169,160,9,2,2,0,Moscow,"Makhachkala, Dagestan",167,158,9,98.81656804733728,Passenger,December,Saturday,Europe
2010-11-28,01:53:00,Sun Way,4412,Ilyushin Il-76TD,4L-GNI,43452546,4,2010,Karachi,Pakistan,,8,0,8,8,0,8,Karachi,Khartoum,0,0,0,0.0,Passenger,November,Sunday,Asia
2010-11-25,12:07:00,NARZ,?,Mil Mi-8T,RA-22376,7257,0,2010,Strezhevoy,Russia,,10,,,7,,,,?,3,,,30.0,Passenger,November,Thursday,Europe
2010-11-05,07:10:00,JS Air,?,Beechcraft 1900C-1,AP-BJD,UC-157,0,2010,Near Karachi,Pakistan,,21,17,4,21,17,4,Karachi,Oil compound in Sindh province,0,0,0,0.0,Passenger,November,Friday,Asia
2010-11-04,17:45:00,Aerocaribbean,883,ATR-72-212,CU-T1549,459,0,2010,Near Guasimal,Cuba,,68,61,7,68,61,7,Santiago de Cuba,Havana,0,0,0,0.0,Passenger,November,Thursday,North America
2010-10-21,,Tracep,?,Let 410UVP,9Q-CUA,X0101,0,2010,Near Bugulumisa,Congo,,2,0,2,2,0,2,Bukavu,Shabund,0,0,0,0.0,Passenger,October,Thursday,Africa
2010-10-12,19:50:00,National Air Cargo,?,Lockheed L-100 Hercules,5X-TUC,4362,0,2010,Near Kabul,Afghanistan,,8,0,8,8,0,8,Bagram AB,Kabul,0,0,0,0.0,Passenger,October,Tuesday,Asia
2010-10-06,,Military - Tajik National Guard,?,Mi-8,?,?,0,2010,Rasht Valley,Tajikistan,,28,,,28,,,,?,0,,,0.0,Military,October,Wednesday,Asia
2010-09-21,,International Security Assistance Force,?,Sikorsky UH-60 Black Hawk,93-26517,?,0,2010,"Chopan district,  Zabul Province",Afghanistan,,13,,,10,,,,?,3,,,23.076923076923077,Passenger,September,Tuesday,Asia
2010-09-13,10:32:00,Conviasa Airline,2350,ATR 42-320,YV-1010,371,0,2010,Puerto Ordaz,Venezuela,,51,47,4,17,14,3,Porlamar,Puerto Ordaz,34,33,1,66.66666666666666,Passenger,September,Monday,South America
2010-09-04,01:15:00,Sky Dive New Zealand,?,Fletcher FU-24-954,ZK-EUF,281,0,2010,,New Zealand,,9,8,1,9,8,1,Fox Glacier Airstrip,Fox Glacier Airstrip,0,0,0,0.0,Passenger,September,Saturday,Oceania
2010-09-03,19:39:00,United Parcel Service- UPS,006,Boeing B747-44AF,N571UP,35668/1393,0,2010,Dubai,United Arab Emirates,,2,0,2,2,0,2,Dubai,"Bonn, Germany",0,0,0,0.0,Passenger,September,Friday,Asia
2010-08-27,,Military - Venezuelan National Guard,?,Mi 17V-5,GN10139,?,0,2010,Buena Vista,Venezuela,,10,,,10,,,Buena Vista,Cararabo,0,,,0.0,Military,August,Friday,South America
2010-08-25,13:00:00,Filair,?,Let 410UVP-E,9Q-CCN,912608,0,2010,Bandundu,Democratic Republic of the Congo,,20,17,3,19,16,3,Kinshasa,Bandundu,1,1,0,5.0,Passenger,August,Wednesday,Africa
2010-08-24,22:10:00,Henan Airlines,?,Embraer ERJ-190-100LR,B-3130,19000223,0,2010,Yichun,China,,96,91,5,44,41,3,Harbin,Yichun,52,50,2,54.166666666666664,Passenger,August,Tuesday,Asia
2010-08-21,14:12:00,Branch River Air Service,?,de Havilland Canada DHC-2 Beaver,N9313Z,441,0,2010,Off Kaminshak Bay,United States of America,Alaska,4,3,1,4,3,1,Swikshak Lagoon,King Salmon,0,0,0,0.0,Passenger,August,Saturday,North America
2010-08-16,01:49:00,AIRES Colombia,?,Boeing B-737-73V,HK-4882,32416/1270,0,2010,San Andreas Island,Colombia,,131,125,6,2,2,0,Bogota,San Andreas Island,129,123,6,98.47328244274809,Passenger,August,Monday,South America
2010-08-09,14:45:00,GCI Communications Corp.,?,de Havilland Canada DH-3T Otter,N455A,206,0,2010,Near Dillingham,United States of America,Alaska,9,8,1,5,4,1,Lake Nerka,Nushagak River,4,4,0,44.44444444444444,Passenger,August,Monday,North America
2010-08-03,01:19:00,Katekavia Airline,KYU9357,Antonov An-24 V,RA-46524,47310003,0,2010,Igarka,Russia,,15,12,3,12,11,1,Karsnoyarsk,Igarka,3,1,2,20.0,Passenger,August,Tuesday,Europe
2010-08-01,15:15:00,All West Freight,?,Fairchild C-123K,N709RR,20158,0,2010,Near Denali National Park,United States of America,Alaska,3,0,3,3,0,3,Palmer-Wolf,Unalakleet,0,0,0,0.0,Passenger,August,Sunday,North America
2010-07-28,18:22:00,Military - US Air Force,?,McDonnell Douglas C-17A Globemaster III,00-0173,P-73,0,2010,Near Elmendorf AFB,United States of America,Alaska,4,0,4,4,0,4,,Practice maneuvers,0,0,0,0.0,Military,July,Wednesday,North America
2010-07-05,17:40:00,Military - Romainian Air Force,?,Antonov AN-2,53,1G194-53,0,2010,Tuzla,Romania,,14,10,4,12,,3,Tuzla,Tuzla,2,,1,14.285714285714285,Military,July,Monday,Europe
